total: 146  failures: 0

recall	src_chars	pg_chars	src_imgs	total	dom_imgs	slug	name	status
0.9802	1213	1237	19	4	19	pv24qy7bnggoc8gq	强化学习自然语言应用面试题.pdf	ok
0.9843	764	802	0	2	0	empp7usbb32lsv01	大模型Adapter微调面试题.pdf	ok
0.9850	6383	6332	8	10	8	lzua45bkpsbswtc6	大模型RAG相关面试题.pdf	ok
0.9860	2506	2515	6	5	6	og9ie1qfc3z250h6	大模型PDF解析面试题.pdf	ok
0.9863	3067	3072	3	5	3	vmytxne2glgwv5xd	大模型LoRA微调面试题.pdf	ok
0.9870	1381	1412	3	3	3	qc16ct7uilro93zx	Attention 进阶面试题.pdf	ok
0.9877	1702	1724	0	2	0	fa61x5b7mne6z613	大模型评测面试题.pdf	ok
0.9880	5176	5158	14	9	14	dq2k7txcr1vf4x47	大模型分布式训练面试题.pdf	ok
0.9885	611	651	0	1	0	rdguqsoqntk48ftz	对比学习相似度函数面试题.pdf	ok
0.9891	3574	3583	12	5	12	ok8n7619gnol7842	大模型负样本样本挖掘面试题.pdf	ok
0.9896	1639	1667	0	2	0	lqpui5vx6gcsb6k3	大模型强化学习面试题.pdf	ok
0.9898	4698	4700	2	5	2	vogpr2x2zonn4rte	大模型RAG表格识别方法面试题.pdf	ok
0.9900	999	1037	1	2	1	axsk3zggus0zd5u2	大模型强化学习PPO面试题.pdf	ok
0.9907	2152	2182	4	3	4	dvkgg9noywos333f	分布式训练之ZeRO学习面试题.pdf	ok
0.9913	6636	6621	6	8	6	ay94t8s9u0r36tuw	大模型文档对话面试题.pdf	ok
0.9914	3387	3404	5	6	5	ni567glr0gaiooqk	大模型增量预训练面试题.pdf	ok
0.9919	9672	9638	26	16	26	bqvtrfn2hz6hgfh4	大模型微调相关面试题.pdf	ok
0.9923	2347	2377	4	5	4	xa5cwswgpgr5e5ag	大模型外挂知识库优化面试题.pdf	ok
0.9930	5718	5723	2	6	2	hinzgsuu7q1bzovk	大模型推理相关面试题.pdf	ok
0.9931	1748	1781	7	3	7	afagmtefqn64ogol	大模型损失函数面试题.pdf	ok
0.9932	11429	11395	12	14	12	hic9v8oovd7ki61z	RAG优化相关面试题.pdf	ok
0.9933	6236	6239	1	8	1	snt45cb6ntnwcz0z	大模型显存问题面试题.pdf	ok
0.9935	4765	4785	0	5	0	hcr983sv54mfvkh1	Prompting学习微调面试题.pdf	ok
0.9935	7180	7179	22	14	22	sg3vsy8co2gu700u	大模型RLHF相关面试题.pdf	ok
0.9936	4068	4088	22	7	22	cu2k7my7hox12h4f	大模型流水线并行训练面试题.pdf	ok
0.9943	2262	2294	4	4	4	nez18vcdbb6kkw29	大模型参数高效微调面试题.pdf	ok
0.9947	750	796	3	3	3	zuq88qq0rwumnica	大模型生成SFT数据方法面试题.pdf	ok
0.9950	3393	3431	4	6	4	gw77y74hsesa3vrs	RAG Fusion优化策略面试题.pdf	ok
0.9951	14624	14602	3	15	3	tb6mmdxw679ogdnh	RAG关键痛点和解决方案面试题.pdf	ok
0.9956	8215	8225	1	10	1	rm48hecz8y2gmkup	大模型RAG评测面试题.pdf	ok
0.9960	7530	7550	1	7	1	agrv77xxe2yz5gbq	大模型Langchain面试题.pdf	ok
0.9961	7527	7546	0	8	0	hnxpiga5sk54su0s	大模型RAG文本分块面试题.pdf	ok
0.9961	28510	28451	2	30	2	mb6rqdfp2ymhebl4	分布式训练DeepSpeed面试题.pdf	ok
0.9962	8759	8770	13	10	13	bmf8fs19qg0llr2u	大模型进阶面试题.pdf	ok
0.9963	3252	3288	0	4	0	hybkp8q9hqhfsuoz	长期记忆8种优化方式面试题.pdf	ok
0.9964	93619	93330	1691	126	1691	tcbq2z13x9uo8ofx	AI大模型赋能千行百业实战.pdf	ok
0.9964	2233	2280	1	3	1	mdvrykdmsshphs27	增量预训练Pretrain样本拼接面试题.pdf	ok
0.9967	3287	3258	62	27	62	thpwngktosyu2hog	174.10分钟拆解大语言模型黑箱.pdf	ok
0.9969	2245	2282	0	3	0	wa517d3g9voa2dcf	大模型训练集面试题.pdf	ok
0.9970	13810	13824	3	14	3	fbk7m8i537oi03s6	大模型PEFT库中使用LoRA技巧面试题.pdf	ok
0.9971	2408	2453	0	3	0	gyy7fzdmcr2eez0i	Transformers操作面试题.pdf	ok
0.9976	5348	5380	9	6	9	gsxxfgtzt9ocarfr	分布式并行训练面试题.pdf	ok
0.9982	7289	7332	2	7	2	qog7d9qz9umc7yb3	分布式训练之DataParallel面试题.pdf	ok
0.9984	15478	15507	2	15	2	vr6k9cgg7cx6315r	分布式训练之AMP混合精度训练面试题.pdf	ok
0.9986	15994	16024	8	19	8	mrmga6qmug2paa1y	Llama模型Lora训练微调面试题.pdf	ok
0.9986	2788	2831	0	3	0	cbh20m4gwzzzh36p	大模型显存优化策略面试题.pdf	ok
0.9993	5933	5940	0	6	0	bbrucpoccltuws6m	Langchain RAG问答应用面试题.pdf	ok
0.9993	10461	10508	1	11	1	whq62zc8d0li3d92	Accelerate分布式训练面试题.pdf	ok
1.0000	0	46	16	16	15	zm4u3gntgfwss7hc	233.多头注意力机制.pdf	img
1.0000	0	55	18	18	17	zmgtge1v5sgvn28u	282.ReAct框架原理解析与面试实战.pdf	img
1.0000	0	59	15	15	15	zqdxnvxnmcgeacv6	249.Transformer核心原理与训练优化.pdf	img
1.0000	0	49	15	15	15	ztkse06uf7gow482	224.大模型微调流程理论篇.pdf	img
1.0000	0	46	15	15	15	zuee2n3pcsr43bi9	227.如何进行词嵌入.pdf	img
1.0000	0	54	15	15	14	zxtb0gqy70ytt0fp	215.模型测评之如何评估大模型的表现.pdf	img
1.0000	0	60	15	15	14	gytrwfoxx3iw2ysa	250.LlamaFactory微调你的AI大模型.pdf	img
1.0000	0	47	15	15	15	hbgpfdsw6bxiwbsp	244.对比学习MOCO.pdf	img
1.0000	0	54	14	14	14	hgg3gdfo659onri7	231.LLM的局限性与RAG技术引入.pdf	img
1.0000	0	55	15	15	15	hi0775p99vpxunu6	251.AI大模型工作原理及三大核心能力.pdf	img
1.0000	0	45	15	15	15	rhgxi76ocmek2oa1	195.模型微调原理.pdf	img
1.0000	0	51	14	14	14	rn5oe88amci91kqq	221.LoRA微调从原理到调参.pdf	img
1.0000	0	53	15	15	15	rohivs6iprx4r22k	247.多模态算法ALBEF模型解析.pdf	img
